Unnamed: 0,album_name
522,Build Me Up Buttercup
523,#Acoustic
524,English Rain
525,The Ghost and the Wall
526,vs.2013 ~知覚と快楽の螺旋~
527,Ysabelle
528,Waiting for My Rocket to Come
529,Acoustic Duets
530,Hanap-Hanap
531,The Will To Death
532,Boulevard of Broken Dreams (Acoustic)
533,The Living Room Sessions Vol. 3
534,Finch
535,More Real Folk Blues
536,Acoustic Love
537,Gossip In The Grain
538,Saktong Akustik
539,"Cover Sessions, Vol. 2"
540,Bossa Best
541,This Little Light of Mine
542,GOOD LUCK TRACK
543,Rogue Taxidermy
544,Christmas Island
545,Chill Out Covers - Chillout Covers - Chill Acoustic - Relaxing Songs - Calming Acoustic Songs
546,Bear Creek
547,Unholy Hymns
548,Treehouse
549,Dancing with the Curse
550,Peaches (Acoustic)
551,You
552,Nightshade
553,Kris Allen
554,Somebody That I Used To Know
555,Lost Without You
556,HOME
557,you broke me first
558,Never Be the Same
559,Game of Thrones
560,Let There Be Morning (Bonus Track Version)
561,CRAZYTALK
562,Back To You
563,何度でも花が咲くように私を生きよう
564,"Cover Sessions, Vol. 4"
565,Montage Of Heck: The Home Recordings
566,1000 Years
567,#Covers
568,Before You Go
569,Young Love
570,We Were Here
571,SUPERMARKET
572,Missing Peace
573,聖域
574,Midnight Waves
575,Spotify Singles
576,Anime Songs #3
577,Never Be the Same
578,Never Be the Same
579,Bossa Best
580,I Can't Make You Love Me
581,Cedar + Gold
582,Some Mad Hope
583,Ash & Stone
584,Calling
585,COVER ALL HO!
586,想 -new love new world-
587,Last Christmas
588,Chapter Of The Forest
589,Ate Sandali
590,Hideaway
591,だれそかれそ
592,Show Me the Blueprints.
593,Sounds Like This
594,This City Isn't Big Enough
595,In Love With Bacharach
596,Bridge City Sinners
597,Show Me the Blueprints.
598,Crustfall
599,Dancing with the Curse
600,Ghost - Acoustic
601,4am
602,"10,000 Hours (Acoustic)"
603,Simply Acoustic
604,No Air
605,Self Help
606,Blackbird Song
607,Easy On Me - Acoustic
608,Chasing Cars (Acoustic)
609,Can't Take My Eyes Off of You
610,Acoustic Sessions
611,Lot To Learn
612,Apologize
613,Episode
614,Ice Pickin'
615,You
616,Shotgun
617,HEY!
618,Have It All
619,Let There Be Morning (Bonus Track Version)
620,Indiana
621,Kaleidoscope Heart
622,Trouble
623,"Cover Sessions, Vol. 6"
624,Remain
625,Tama Na
626,"Guitar Covers, Vol. 2"
627,陽水II センチメンタル (Remastered 2018)
628,Zee Avi
629,I Want to Know What Love Is (Acoustic)
630,日々のあわ
631,Ordinary Days
632,I Dream of You: CALM
633,The Walking in Between
634,Neighbor
635,PEACE OUT
636,音タイム
637,"By The Way, I Forgive You"
638,Into The Wild (Music For The Motion Picture)
639,Chill Out Covers - Chillout Covers - Chill Acoustic - Relaxing Songs - Calming Acoustic Songs
640,One Week Record
641,The Blueprint Sessions
642,Born Under A Bad Sign (Mono)
643,Say I Am You
